Address,Date,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Info
"10023",01/01/2017,41.1,47.2,44.5,22.2,41.38,,12.8,,231.67,0,4.17,,10,23.8,1020.7,"",40.775921,-73.982607,"10023, USA",""
"10023",01/02/2017,37.2,41.1,38.9,32.2,78.52,,15.1,36.7,65.5,0.2,45.83,,7.7,69.8,1030,"Mist, Light Drizzle, Rain, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",01/03/2017,39,43.1,40.7,40,97.25,,17.3,32.2,85.62,0.6,62.5,,3.7,98.2,1011.3,"Mist, Light Drizzle, Rain, Heavy Rain, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",01/04/2017,35,52.1,44,32.3,67.62,,20.7,41.3,270.17,0,20.83,,9.2,59.3,999.5,"Mist, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",01/05/2017,26.9,34.1,30.4,9.5,41.14,,17.2,43.6,266.96,0,12.5,,10,27.7,1012.7,"",40.775921,-73.982607,"10023, USA",""
"10023",01/06/2017,26.1,33.3,29.5,15.5,57.84,,9.2,42.5,274.54,0.1,25,1.2,8.1,55.1,1017.8,"Light Snow, Mist, Fog, Smoke Or Haze, Snow",40.775921,-73.982607,"10023, USA",""
"10023",01/07/2017,20.1,25.2,22.1,12.8,69.64,,11.5,31.1,199.5,0.3,45.83,5.9,4.7,50.2,1023.2,"Light Snow, Mist, Fog, Smoke Or Haze, Snow",40.775921,-73.982607,"10023, USA",""
"10023",01/08/2017,17,24.4,20.1,4.4,50.84,,14.9,33.3,292.75,0,4.17,7.1,9.4,32.8,1026.6,"",40.775921,-73.982607,"10023, USA",""
"10023",01/09/2017,15.2,23.1,19.1,4.3,51.89,,11.5,48.3,264.08,0,12.5,5.9,10,19.6,1038.6,"",40.775921,-73.982607,"10023, USA",""
"10023",01/10/2017,21.9,44,31,19.9,63.76,,9.2,40.3,187.71,0,4.17,3.1,10,43.8,1033.4,"",40.775921,-73.982607,"10023, USA",""
"10023",01/11/2017,43.1,51.2,46.7,38.9,74.73,,13.9,44.7,216.5,0.4,41.67,1.2,8.9,46.9,1024.3,"Mist, Rain, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",01/12/2017,46.1,65,58.2,50,75.31,,13.3,35.6,235.42,0.2,25,,9.4,64.8,1017.9,"Mist, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",01/13/2017,32.2,62,46.4,29.7,53.7,,12.7,37.8,302.33,0,4.17,,10,13.1,1029.1,"",40.775921,-73.982607,"10023, USA",""
"10023",01/14/2017,28.2,33.2,30.8,19,63.46,,9.2,,146.38,0.1,25,1.2,7.4,45.8,1035.1,"Light Snow, Mist, Fog, Snow",40.775921,-73.982607,"10023, USA",""
"10023",01/15/2017,30,38.2,33.8,22.1,63.19,,9.1,,299.54,0,4.17,1.2,9.8,19.8,1027.2,"",40.775921,-73.982607,"10023, USA",""
"10023",01/16/2017,30,43.1,36.3,20.9,53.7,,11.3,45.9,201.27,0,25,,10,16.6,1029.3,"",40.775921,-73.982607,"10023, USA",""
"10023",01/17/2017,38.1,42.1,39.6,32.7,77.81,,8.3,,160.21,0.3,45.83,,5.5,96.9,1021,"Mist, Rain, Light Rain, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",01/18/2017,38.1,41.1,39.5,37.5,92.34,,9.7,,108.88,0.1,20.83,,7.5,98.5,1014.1,"Mist, Light Drizzle, Heavy Rain, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",01/19/2017,39,48,42.6,34.4,73.1,,8.1,49.4,284.71,0,8.33,,10,70.5,1016.5,"",40.775921,-73.982607,"10023, USA",""
"10023",01/20/2017,39.9,44.9,41.7,34.2,75.57,,10.2,,104.17,0.1,20.83,,8.8,97.5,1014.9,"Mist, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",01/21/2017,41.1,47.9,43.6,41.9,93.77,,8.6,,256.96,0,0,,4.7,84.4,1010.9,"Mist, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",01/22/2017,43.1,47.1,44.9,43.1,93.48,,16.3,33.3,112.58,0,8.33,,4.7,89.8,1007,"Mist, Fog, Light Rain, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",01/23/2017,35.9,44,39.6,34.3,81.6,,25.3,47.1,67.5,0.9,37.5,,8,98.3,1007,"Mist, Rain, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",01/24/2017,35,38.1,36.4,34.9,94.35,,17.5,36.8,188.46,1.4,91.67,,5.3,98.2,994.6,"Mist, Rain, Heavy Rain, Light Rain, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",01/25/2017,37.2,51.1,43.1,30.3,60.86,,13.8,39.1,282.52,0,4.17,,10,38.6,1002.6,"Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",01/26/2017,43.1,53.9,48.2,33.5,57.32,,17.1,48.3,261.48,0,33.33,,9.8,75.6,997.2,"Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",01/27/2017,37.2,43.1,40.9,23.9,50.62,,17.2,41.4,272.79,0,8.33,,10,76.7,1002.8,"",40.775921,-73.982607,"10023, USA",""
"10023",01/28/2017,34.1,38.9,36.5,20.5,52.19,,17.9,31.1,263.88,0,0,,10,89.2,1004.9,"Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",01/29/2017,35.9,42.3,38.5,18.2,44.7,,12.7,43.6,256.12,0,12.5,,10,38.6,1005.9,"",40.775921,-73.982607,"10023, USA",""
