Address,Date,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Info
"10023",01/01/2018,7.1,18,12.8,-3.7,48,,11.5,44.7,297.42,0,0,,10,0.4,1027.6,"",40.775921,-73.982607,"10023, USA",""
"10023",01/02/2018,12.4,26,18.6,3.9,52.4,,15,31.1,269.92,0,0,,10,4.3,1028,"",40.775921,-73.982607,"10023, USA",""
"10023",01/03/2018,17,29.1,23.1,3.1,42.21,,11,47.2,201.96,0,37.5,,10,5.4,1024.1,"",40.775921,-73.982607,"10023, USA",""
"10023",01/04/2018,21,29.1,24.7,14.5,67.27,,20.6,51.7,236.46,0.8,50,7.1,5.5,67.2,999.5,"Blowing Or Drifting Snow, Heavy Snow, Light Snow, Mist, Rain, Fog, Smoke Or Haze, Snow",40.775921,-73.982607,"10023, USA",""
"10023",01/05/2018,9,19.2,13.2,-5,43.7,,19.6,43.6,286.75,0.1,4.17,7.1,10,9.1,1009.1,"",40.775921,-73.982607,"10023, USA",""
"10023",01/06/2018,7.1,12.2,9.7,-9.3,41.51,,16.1,40.3,288.42,0,0,7.1,10,1.7,1023.2,"",40.775921,-73.982607,"10023, USA",""
"10023",01/07/2018,5.1,17.9,11.4,-4.7,47.96,,13.8,36.7,269.75,0,0,7.1,10,16,1032.7,"",40.775921,-73.982607,"10023, USA",""
"10023",01/08/2018,17,30.9,24.6,11.5,57.19,,11.5,49.4,243.38,0,8.33,7.1,9.8,74.1,1022.1,"Ice, Light Snow, Rain, Light Rain, Light Freezing Rain",40.775921,-73.982607,"10023, USA",""
"10023",01/09/2018,30.8,43.1,36.6,22.1,56.71,,10.3,40.3,285,0,8.33,3.9,9.5,15.2,1021.2,"",40.775921,-73.982607,"10023, USA",""
"10023",01/10/2018,30,41.1,35.8,23,59.65,,7.9,58.6,166.42,0,4.17,3.1,10,25.8,1030.8,"",40.775921,-73.982607,"10023, USA",""
"10023",01/11/2018,41.9,52.7,46.1,39.2,76.88,,9,48.3,145.26,0,4.17,2,8.6,75.3,1027.2,"Mist, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",01/12/2018,44,61,55.4,54.1,95.15,,12.7,32.2,159.25,0.5,62.5,,5.1,98,1011.8,"Mist, Rain, Fog, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",01/13/2018,20.1,56.8,36.6,26.6,68.31,,15,37.8,262.79,0.1,37.5,,8.9,47.3,1010.2,"Mist, Light Snow, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",01/14/2018,15.2,24.3,18.7,-0.2,43.84,,12.8,,191.5,0,0,,10,0.6,1035.4,"",40.775921,-73.982607,"10023, USA",""
"10023",01/15/2018,16.1,30,22.7,11.2,61.02,,11.5,,54.67,0,0,,9.8,33.1,1036.1,"Light Snow",40.775921,-73.982607,"10023, USA",""
"10023",01/16/2018,25.1,35,30.7,24.1,76.58,,5.9,31.1,59.96,0,4.17,,10,93.5,1031.1,"",40.775921,-73.982607,"10023, USA",""
"10023",01/17/2018,23.1,35.9,31.7,26.6,82.04,,11.4,39.1,240.08,0.2,54.17,,6.4,89.4,1023.5,"Mist, Light Snow, Rain, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",01/18/2018,19.2,32.1,25.4,9.4,51.06,,11.4,,298.96,0,0,,10,3.9,1017,"Light Snow",40.775921,-73.982607,"10023, USA",""
"10023",01/19/2018,25.1,41,32.5,14.7,47.99,,11.4,,259.5,0,0,,10,1.1,1016.5,"",40.775921,-73.982607,"10023, USA",""
"10023",01/20/2018,38,52.1,44.3,23.2,43.19,,19.7,31.1,254.04,0,0,,10,1.2,1012.8,"",40.775921,-73.982607,"10023, USA",""
"10023",01/21/2018,43.1,50.1,46.6,29.5,51.37,,6.9,,240.39,0,0,,10,31.9,1020.3,"",40.775921,-73.982607,"10023, USA",""
"10023",01/22/2018,38,50,43.3,37.5,80.56,,9.3,,57.75,0,4.17,,5.8,89.2,1020.7,"Mist, Fog, Light Rain, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",01/23/2018,38,60.1,48.7,42,80.35,,19.6,41.4,177.26,0.3,37.5,,6,69.4,1006.7,"Mist, Rain, Fog, Heavy Rain, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",01/24/2018,28.1,44,38.5,21.9,51.1,,12.9,33.3,287.96,0,0,,10,49.3,1013.5,"",40.775921,-73.982607,"10023, USA",""
"10023",01/25/2018,23.1,34.1,28.2,4.4,38.08,,12.9,,307.79,0,0,,10,5.9,1028,"",40.775921,-73.982607,"10023, USA",""
"10023",01/26/2018,26,38,31.5,8.4,38.46,,10.3,,195.48,0,0,,10,12.7,1037.6,"",40.775921,-73.982607,"10023, USA",""
"10023",01/27/2018,35.9,56,46.1,31.3,57.25,,11.4,,213.3,0,0,,10,3.7,1029.6,"",40.775921,-73.982607,"10023, USA",""
"10023",01/28/2018,47,55.1,50,41.9,74.78,,9.3,,243.78,0.2,50,,9,83.4,1023.8,"Mist, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",01/29/2018,37.1,46.9,41.8,27.4,56.59,,20.5,40.3,52,0,4.17,,10,47.6,1020.9,"",40.775921,-73.982607,"10023, USA",""
"10023",01/30/2018,25.1,35.9,31.2,23.2,73.51,,14.9,43.6,187.17,0.1,41.67,1.2,6.2,87.6,1015.8,"Light Snow, Mist, Light Rain, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",01/31/2018,17.9,32.2,26,7.4,45.59,,13.8,47.2,262.21,0,8.33,,10,6.2,1021.8,"",40.775921,-73.982607,"10023, USA",""
"10023",02/01/2018,32.1,44.8,39.3,24.2,54.69,,11.3,48.3,219.78,0,12.5,,9.8,65.7,1014.2,"Rain, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",02/02/2018,17,41,27.8,12.6,54.21,,19,42.5,292.08,0.2,37.5,,9.4,68.8,1016.8,"Mist, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",02/03/2018,16.1,30,23.7,4.5,43.53,,13.7,45.9,253.04,0,0,,10,17.2,1028.8,"",40.775921,-73.982607,"10023, USA",""
"10023",02/04/2018,29.9,44.9,37.6,26,65.12,,12.1,,177.88,0.9,41.67,,7.6,93.4,1018.5,"Mist, Rain, Heavy Rain, Light Rain, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",02/05/2018,26,39.9,33.1,18.7,58.3,,15.1,44.8,294.58,0,20.83,,9.7,24.4,1014.7,"Mist, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",02/06/2018,26,37.1,32.1,15.3,49.6,,10,50.6,246.62,0,12.5,,10,45.4,1028,"",40.775921,-73.982607,"10023, USA",""
"10023",02/07/2018,29.9,44,33.9,27.5,78.36,,16.1,36.7,127.79,0.8,58.33,1.2,6.6,69.1,1022.8,"Light Snow, Mist, Rain, Heavy Rain, Light Rain, Smoke Or Haze, Light Freezing Rain",40.775921,-73.982607,"10023, USA",""
"10023",02/08/2018,26,33.2,29.4,14.6,53.85,,13.3,48.3,303.46,0,8.33,,10,41.8,1026.1,"",40.775921,-73.982607,"10023, USA",""
"10023",02/09/2018,26,38.9,31.3,17.5,56.55,,11,33.3,236.58,0,0,,10,37.7,1032.5,"",40.775921,-73.982607,"10023, USA",""
"10023",02/10/2018,38.9,48.8,44.3,40.4,86.51,,7.5,34.4,167.33,0.6,45.83,,5.9,84.1,1023.1,"Mist, Rain, Heavy Rain, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",02/11/2018,44.9,61,50.3,49.2,96.05,,9.2,,153.41,1.2,87.5,,4,98.2,1014.4,"Mist, Rain, Heavy Rain, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",02/12/2018,34.1,61.1,45.3,29.2,56.37,,13.7,39.1,307.46,0,12.5,,9.9,52.8,1025.7,"Mist",40.775921,-73.982607,"10023, USA",""
"10023",02/13/2018,26.1,37.2,31.8,15.1,50.99,,10.2,47.2,152.42,0,8.33,,10,17.3,1040.7,"",40.775921,-73.982607,"10023, USA",""
"10023",02/14/2018,35.9,52.9,43.7,32.1,64.11,,10.2,45.9,236.04,0,8.33,,9.9,84.5,1025.6,"Rain, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",02/15/2018,46.1,61,52.6,46.8,81.02,,10.1,43.6,244.08,0.1,29.17,,6.9,65.2,1010.9,"Mist, Rain, Light Rain, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",02/16/2018,37.2,57.8,51.9,43.9,75.31,,12.8,36.7,279.21,0.1,66.67,,8.8,64.3,1006.3,"Mist, Fog, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",02/17/2018,28.2,38.1,33.5,20.5,61.08,,12.6,31.1,169.88,0.5,29.17,3.1,8.1,28.6,1025,"Light Snow, Mist, Fog, Snow",40.775921,-73.982607,"10023, USA",""
"10023",02/18/2018,33.2,44.1,38.3,25.9,63.77,,11.3,53.9,224,0.1,25,3.9,8.8,27.2,1024.2,"Mist, Light Snow, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",02/19/2018,37.1,48.8,44,35.5,72.97,,8,,171.17,0,16.67,1.2,8.7,53.8,1030.8,"Mist, Light Drizzle, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",02/20/2018,47,66.8,57,51.4,83.02,,11.4,44.7,236.46,0,8.33,,6.7,55.2,1026.1,"Mist, Light Drizzle, Fog",40.775921,-73.982607,"10023, USA",""
"10023",02/21/2018,55.1,78.1,65.8,56.4,73.17,,12.6,47.2,237.5,0.1,4.17,,9.3,52.6,1025.2,"Mist, Fog, Light Rain",40.775921,-73.982607,"10023, USA",""
